Wavelength[nm]	Intensity[normalized]	Ret_Intensity[normalized]	Phase[rad]
705.98	0.03062845	0.93546829	-0.19936174
706.43	0.03074103	0.95524532	-0.18324442
706.88	0.03111980	0.97292071	-0.17166952
707.32	0.03158884	0.98776509	-0.16756959
707.77	0.03209900	0.99574411	-0.16313496
708.21	0.03258489	0.99968840	-0.16227470
708.66	0.03250476	1.00000000	-0.16792131
709.11	0.03183152	0.99668522	-0.17617132
709.55	0.03122126	0.98975036	-0.18605095
710.00	0.03115071	0.97863427	-0.20146922
710.44	0.03143337	0.96278627	-0.21559293
710.89	0.03140414	0.94378790	-0.23819044
711.34	0.03099391	0.92198951	-0.26047542
711.78	0.03045378	0.89774729	-0.28538024
712.23	0.02946452	0.87140984	-0.30997792
712.67	0.02814558	0.84278824	-0.33134145
713.12	0.02729231	0.81263003	-0.35533287
713.57	0.02693036	0.78169023	-0.37609544
714.01	0.02625542	0.75046771	-0.40242087
714.46	0.02506839	0.71946496	-0.42552272
714.90	0.02391209	0.68925337	-0.45321609
715.35	0.02300515	0.66282245	-0.48257389
715.80	0.02207822	0.63761485	-0.51164557
716.24	0.02111030	0.61362686	-0.54629309
716.69	0.02044470	0.59086196	-0.57675337
717.13	0.02007609	0.56931711	-0.60791176
717.58	0.01960891	0.54922966	-0.63879422
718.02	0.01883884	0.53082285	-0.66745016
718.47	0.01768512	0.51345919	-0.69388206
718.92	0.01606463	0.49700487	-0.72004554
719.36	0.01450132	0.48132382	-0.74496651
719.81	0.01386815	0.46627816	-0.76474119
720.25	0.01402262	0.45116713	-0.77741890
720.70	0.01404635	0.43608659	-0.79179114
721.14	0.01364047	0.42151560	-0.80004783
721.59	0.01295098	0.40749994	-0.80023827
722.03	0.01201311	0.39408887	-0.80017734
722.48	0.01129058	0.38132265	-0.79400806
